"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Production Smoke P0","0","Interview Service - AI Mock Interviews","0","0","AI Recommendations","0"
"1","Production Smoke P0","0","Auth Service - Identity & Permissions","0","0","Authentication & Identity","0"
"1","Production Smoke P0","0","Auth Service - Identity & Permissions","0","0","IDP Course Requests","0"
"1","Production Smoke P0","0","Auth Service - Identity & Permissions","0","0","Admin Dashboard Overview","0"
"1","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","0","0","Mentor Skills","0"
"1","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","0","0","Skills Taxonomy","0"
"1","Production Smoke P0","0","Jobs Service - Career & Listings","0","0","Platform Stats","0"
"1","Production Smoke P0","0","Courses Service - Learning Management","0","0","Service Metrics","0"
"2","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","0","0","Profile Management","0"
"1","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","0","0","Skill Recommendations","0"
"1","Production Smoke P0","0","Interview Service - AI Mock Interviews","0","0","Hardware Compatibility","0"
"1","Production Smoke P0","0","Interview Service - AI Mock Interviews","0","0","Performance Trends","0"
"1","Production Smoke P0","0","Billing Service - Revenue & Wallets","0","0","Financial Transactions","0"
"1","Production Smoke P0","0","Resumes Service - ATS & AI Builder","0","0","Resume Details","0"
"1","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","0","0","Question Bank","0"
"2","Production Smoke P0","0","Billing Service - Revenue & Wallets","0","0","Pricing & Credit Catalog","0"
"1","Production Smoke P0","0","Jobs Service - Career & Listings","0","0","Audit Logs","0"
